idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
212,0.526736,-0.056197,0.499922,-0.026776,0.002555,-0.999638,0.002977,-0.999988,-0.003882,0.001485,0.315211
213,0.526738,-0.057681,0.499879,-0.030053,0.005757,-0.999532,0.003258,-0.999985,-0.004301,0.001485,0.316696
214,0.526741,-0.059172,0.499901,-0.032411,0.008037,-0.999442,0.003484,-0.999982,-0.004826,0.001491,0.318187
215,0.526744,-0.060657,0.499935,-0.034743,0.010292,-0.999343,0.003622,-0.999979,-0.005454,0.001485,0.319672
216,0.526750,-0.062140,0.499961,-0.037068,0.013422,-0.999223,0.003649,-0.999975,-0.006029,0.001483,0.321155
217,0.526755,-0.063623,0.499965,-0.039389,0.019235,-0.999039,0.003599,-0.999972,-0.006574,0.001483,0.322638
218,0.526761,-0.065105,0.499969,-0.039097,0.022440,-0.998983,0.003501,-0.999967,-0.007315,0.001482,0.324120
219,0.526767,-0.066585,0.499975,-0.041733,0.022723,-0.998870,0.003346,-0.999958,-0.008522,0.001480,0.325600
220,0.526773,-0.068065,0.499978,-0.044367,0.023707,-0.998734,0.003168,-0.999942,-0.010251,0.001480,0.327080
221,0.526784,-0.069548,0.499979,-0.046916,0.023233,-0.998629,0.002959,-0.999920,-0.012321,0.001483,0.328563
222,0.526794,-0.071032,0.499977,-0.049463,0.022760,-0.998517,0.002664,-0.999890,-0.014613,0.001485,0.330048
223,0.526801,-0.072520,0.499888,-0.050204,0.024054,-0.998449,0.002290,-0.999850,-0.017142,0.001490,0.331538
224,0.526799,-0.074018,0.499822,-0.050946,0.025349,-0.998380,0.001876,-0.999802,-0.019835,0.001499,0.333038
